time_sec,trial_id,mission_state,event_name,event_detail,current_waypoint,target_id,success_flag
1.9000000000000001,1,IDLE mode=AUTO nav_goal=NONE,MISSION_STATE,IDLE mode=AUTO nav_goal=NONE,,,False
2.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
2.2,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
2.4000000000000004,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
2.6,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
2.8000000000000003,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
3.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
3.2,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
3.4000000000000004,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
3.6,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
3.8000000000000003,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
4.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
4.2,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
4.4,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
4.6000000000000005,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
4.800000000000001,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
5.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
5.2,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
5.4,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
5.6000000000000005,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
5.800000000000001,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
6.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
6.2,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
6.4,1,PATROL_DWELL mode=AUTO nav_goal=NONE,MISSION_STATE,PATROL_DWELL mode=AUTO nav_goal=NONE,,,False
6.6000000000000005,1,PATROL_DWELL mode=AUTO nav_goal=NONE,MISSION_STATE,PATROL_DWELL mode=AUTO nav_goal=NONE,,,False
6.800000000000001,1,RESUME_PATROL mode=AUTO nav_goal=NONE,MISSION_STATE,RESUME_PATROL mode=AUTO nav_goal=NONE,,,False
7.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
7.1000000000000005,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
7.4,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
7.6000000000000005,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
7.800000000000001,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
8.0,1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,MISSION_STATE,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,,,False
8.200000000000001,1,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,MISSION_STATE,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,,,False
8.4,1,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,MISSION_STATE,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,,,False
8.600000000000001,1,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,MISSION_STATE,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,,,False
8.8,1,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,MISSION_STATE,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,,,False
