ros_time_sec,event,detail,mission_state,mode,cmd_linear,cmd_angular,odom_x,odom_y,dynamic_lock,bird_confirmed,sound_done
0.000,mission_event,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MISSION_COMMAND reason=START_PATROL waypoint_index=0,UNKNOWN,UNKNOWN,0.000,0.000,0.000,0.000,False,False,False
0.000,mission_event,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MODE_CHANGE reason=previous=STANDBY next=AUTO reason=START_PATROL waypoint_index=0,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
0.000,mission_event,timestamp=0.000 mission_id=0 target_mission_id=0 state=IDLE event_type=MISSION_RESET reason=operator_reset_pulse waypoint_index=0,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,dynamic_lock,False,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,classification,WAITING_DYNAMIC_LOCK,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,bird_confirmed,False,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,classification,WAITING_DYNAMIC_LOCK,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,bird_confirmed,False,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,sound_state,IDLE_NO_REQUEST,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,sound_done,False,UNKNOWN,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,mission_state,IDLE mode=AUTO nav_goal=NONE,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,mission_event,timestamp=1.900 mission_id=0 target_mission_id=0 state=PATROL_NAVIGATING event_type=STATE_CHANGE reason=previous=IDLE next=PATROL_NAVIGATING reason=goal_type=PATROL waypoint_index=0,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,0.000,0.000,False,False,False
1.900,mission_event,timestamp=1.900 mission_id=0 target_mission_id=0 state=PATROL_NAVIGATING event_type=NAV2_DISABLED_SIMULATED_GOAL reason=PATROL waypoint_index=0,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.000,dynamic_lock,False,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.000,classification,WAITING_DYNAMIC_LOCK,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.000,bird_confirmed,False,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.000,sound_state,IDLE_NO_REQUEST,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.000,sound_done,False,IDLE mode=AUTO nav_goal=NONE,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.000,mission_state,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,-0.000,0.000,False,False,False
2.100,classification,WAITING_DYNAMIC_LOCK,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.100,bird_confirmed,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.200,bird_confirmed,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.200,classification,WAITING_DYNAMIC_LOCK,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.200,sound_state,IDLE_NO_REQUEST,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.200,sound_done,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.000,0.000,0.000,0.000,False,False,False
2.200,mission_state,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.080,0.000,0.000,0.000,False,False,False
2.200,dynamic_lock,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.120,0.000,0.000,0.000,False,False,False
2.300,bird_confirmed,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.120,0.000,0.007,0.000,False,False,False
2.300,classification,WAITING_DYNAMIC_LOCK,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.120,0.000,0.007,0.000,False,False,False
2.400,sound_state,IDLE_NO_REQUEST,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.120,0.000,0.026,0.000,False,False,False
2.400,sound_done,False,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,AUTO,0.120,0.000,0.026,0.000,False,False,False
